TYPE,,CODE TYPE,MERK,BARCODE,NAMA BARANG,STN
,,,,23501004,DGM TH 8600 4 NWL,BH
,,,,23501005,DGM TH 5500 4,BH
,,,,,,
,,36,1,23601001,DGM TB 5500 E1,BH
,,BRACKET,OMGE,23601002,DGM TB 5500 E2,BH
,,,,23601003,DGM TB 5500 C1,BH
,,,,23601004,DGM TB 5500 C2,BH
,,,,23601005,DGM TB 5500 W1,BH
,,,,23601006,DGM TB 5500 G1,BH
,,,,23601007,DGM TB 8600 C (STEEL),BH
,,,,23601008,DGM TB 5500 W2,BH
,,,,23601009,DGM TB 5500 G2,BH
,,,,,,
,,37,1,23701001,DGM TP 8600 E,BH
,,TOP PIVOT,OMGE,23701002,DGM TP 8600 M,BH
,,,,,,
,,38,1,23801001,DGM FG 8600 F,BH
,,FLOOR GUIDE,OMGE,,,
,,,,,,
,,39,1,23901001,CSM 910T 3 US32D,BH
,,CANOPY SYSTEM,OMGE,23901002,CSM 910T 1 US32D,BH
,,,,23901003,CSM 910T 2 US32D,BH
,,,,,,
,,40,1,24001001,DGM ST 5500,BH
,,STOPPER,OMGE,24001002,DGM ST 8600,BH
,,,,,,
,,41,1,24101001,DGM GU 5500,BH
,,DROPPER GUARD,OMGE,,,
,,,,,,
,,42,1,24201001,GTM 830D-4,SET
,,GLASS STOPPER,OMGE,24201002,GTM 830D-5,SET
,,,,,,
,,43,1,24301001,PCM-S,BH
,,BLANK KEY,OMGE,24301002,PCM-D,BH
,,,,,,
,,44,1,24401001,SWING UPPER 451.42,BH
,,HINGE,HI MOTION,24401002,SWING LOWER 455.4,BH
,,,,,,
,,45,1,24501001,DEM 23 HF,BH
,,DOOR SEAL,OMGE,24501002,DEM 26 SF (12/2500),BH
,,,,24501003,DEM 26 SF (10/2300),BH
,,,,,,
,,46,2,24602001,ELECTRIC LOCK ELC 9317 MF FIN PAS BT(L/R) BK,PS
,,SMARTLOCK,DEKKSON,24602002,ELECTRIC LOCK ERC 9307 MF FIN PAS BT BK,PS
,,,,24602003,ELECTRIC LOCK ELC 9327 MF FIN PAS BT(L/R) CHROME SILVER,PS
